"size","type","psi_jt","y_jt","l_jt","wagebill","xbar","size_main","h_j","size_h"
0.25,"pred",10.5490864531068,11.5558813331646,0.430194058686582,10.8745493541411,0.100401455900844,12337,-57.8315433583819,5326
0.5,"pred",10.573466424606,11.9258119086473,0.531443789701406,11.2479579284792,-0.154273921865095,19375,-58.6790100999148,23122
0.75,"pred",10.5951989334383,11.9911326314333,0.707259633816263,11.3091703616665,-0.134444900103117,117895,-58.0752275071077,116798
0.75,"true",10.5914370610178,12.7375285335889,0.705930988179003,11.2522415028939,-0.137958139302766,140854,-58.0688920756466,140854
1,"pred",10.6267271177452,12.4120658594953,1.05570350166125,11.7309705026409,-0.137783062322669,101458,-58.0159611702102,101899
1,"true",10.6210555930443,12.9769895254205,1.12651481246764,11.7144447625174,-0.153258426195647,154225,-57.802144035426,154225
1.25,"pred",10.6252712191969,12.581231060301,1.25641350094163,11.9004374050012,-0.151468030229977,105202,-57.7775155907165,109842
1.5,"pred",10.6497273815754,12.8793395548749,1.52371559507491,12.197979033464,-0.124097924934659,158443,-57.4910070933646,149709
1.5,"true",10.6460993474141,13.2789846952174,1.54706751879133,12.1682005804402,-0.137234662946667,256279,-57.5077385504178,256279
1.75,"pred",10.6534565503276,13.14638226967,1.78598934926142,12.4662140693541,-0.12489241575203,141764,-57.2389059893559,142046
1.75,"true",10.6591592982764,13.5350648770825,1.87509186269192,12.51226462771,-0.121185423031344,95724,-57.1874525580263,95724
2,"pred",10.6685241837843,13.4461213733075,2.06092407197946,12.765830499757,-0.0987199363041075,136952,-56.9573922000632,132642
2,"true",10.6681185569561,13.7261815986658,2.1076258269398,12.7549449774224,-0.106181710557005,142329,-56.9573736631442,142329
2.25,"pred",10.6730417443877,13.7095276023616,2.31862823428019,13.0303149333649,-0.0891229362826727,111759,-56.6357386086742,115120
2.25,"true",10.6756410405477,13.9383626861638,2.3624658458308,13.0186263604672,-0.092994948064702,97932,-56.6288799122126,97932
2.5,"pred",10.6820771411336,13.9836664515996,2.5817766204449,13.3053264613307,-0.0690845761877124,98892,-56.3268445536221,97313
2.5,"true",10.6824365289569,14.14533346366,2.60902731076542,13.2744461929718,-0.0767982684810023,99253,-56.32375086009,99253
2.75,"pred",10.6875331476961,14.2547895466892,2.84630558586917,13.5770051186255,-0.0552314472581734,78908,-55.9830278620327,78605
2.75,"true",10.6877283552319,14.3788113713396,2.87629272321616,13.5481751076149,-0.0642267699102788,82140,-55.9561236308702,82140
3,"pred",10.693384840381,14.5251946445243,3.11173816613964,13.849077205511,-0.0403766789638826,62355,-55.6682666542528,62890
3,"true",10.6935122585502,14.6071642624015,3.14381968668643,13.82352605439,-0.0498853159172771,62828,-55.557591761562,62828
3.25,"pred",10.6990401093844,14.7929743995726,3.37569268958244,14.1168590981816,-0.0274928787687193,49270,-55.3417830094993,49569
3.25,"true",10.6989935553045,14.8398496559341,3.41441437875422,14.1008348634419,-0.0367029784210741,52982,-55.2516716593008,52982
3.5,"pred",10.7017457422685,15.0528203221379,3.63392590286448,14.3770220735594,-0.0191742444460732,38075,-54.9795700949587,38701
3.5,"true",10.7018806822979,15.0749808517643,3.67581795879358,14.3670148026755,-0.0291353512000364,36510,-54.8889582731591,36510
3.75,"pred",10.7048572181802,15.3118372449571,3.89124794440355,14.635159079059,-0.0127749126122893,29299,-54.7300098811963,29866
3.75,"true",10.7046791491261,15.3090245545226,3.92683775875663,14.6221617955078,-0.0224480932913272,30138,-54.5822221414541,30138
4,"pred",10.7068543860508,15.5662012019915,4.14755246658275,14.8895263098765,-0.00771830008717814,22100,-54.4320439927017,22486
4,"true",10.7059664876427,15.5346491977824,4.17553597440838,14.8730938389074,-0.0198482948508196,21089,-54.2789508625628,21089
4.25,"pred",10.7058993856848,15.811939403818,4.3935674894027,15.1342486095886,-0.0104343171490251,16278,-54.0636364795508,16699
4.25,"true",10.7054458213273,15.755510588722,4.4197807509274,15.1179301810161,-0.0208113089478245,16954,-53.9253553558122,16954
4.5,"pred",10.7078131218954,16.067300350183,4.64918521691829,15.3884782286673,-0.005718163615282,12248,-53.894401633554,12442
4.5,"true",10.7078462132278,15.9953390170804,4.6767744074852,15.377635808859,-0.0159880300627487,12487,-53.7670245624724,12487
4.75,"pred",10.7078249289159,16.3104535838859,4.89628586144727,15.6331909831509,-0.00826806731178292,8815,-53.5714741311633,8938
4.75,"true",10.7073468897126,16.2162892435177,4.92120007245518,15.6234058036665,-0.0182627331733078,8557,-53.4487158818455,8557
5,"pred",10.7123389291328,16.5786656386587,5.1543383919111,15.9008736236324,-0.000682121944997603,6346,-53.1599282879883,6380
5,"true",10.7118450341857,16.4647260939246,5.17879801805053,15.8855998851548,-0.0105321578632073,6549,-53.0489114448951,6549
5.25,"pred",10.7141943007063,16.8394261132331,5.41070686846126,16.1594037178032,0.00329931600707528,4471,-52.8974190348323,4477
5.25,"true",10.7115741724251,16.7185800053189,5.43524989092922,16.1415018993814,-0.00985685757262339,4417,-52.8694963900258,4417
5.5,"pred",10.7101409174913,17.0743712648888,5.65191913781704,16.3956169290549,-0.00458669291189968,3118,-52.6852205294145,3236
5.5,"true",10.7138479451149,16.9773618908448,5.68481058012686,16.3957898982224,-0.00809888619505596,3192,-52.4471520550891,3192
5.75,"pred",10.7139732560531,17.3308029226644,5.90200583604439,16.6493817682446,-0.00158236935921074,2247,-52.3306835584806,2228
5.75,"true",10.7123974573917,17.2420052835471,5.93339795062668,16.6448688661304,-0.0124818295010641,2305,-52.2008875576468,2305
6,"pred",10.7149326843283,17.5829417849052,6.16647134118547,16.9022959750981,0.00825808085677937,1571,-52.0549666490675,1617
6,"true",10.7125676678139,17.4843095390245,6.17462263899768,16.8860494079596,-0.00741744277897349,1561,-51.881666960707,1561
6.25,"pred",10.7240438626916,17.8686949608202,6.43720901535484,17.1850485389956,0.0238165013215435,1134,-52.1189943969221,1152
6.25,"true",10.7262980054427,17.7925082721936,6.46881844323536,17.1990345189649,0.0190735712694688,1135,-52.0001712072371,1135
6.5,"pred",10.7256930247777,18.1068702348956,6.68007421691848,17.4257862522017,0.0172169560990845,847,-51.6553215945572,862
6.5,"true",10.720294498778,18.03367874685,6.68253965319678,17.4061863426466,-0.00199351576565027,839,-51.4077501662041,839
6.75,"pred",10.7234330572207,18.3598111429946,6.93648495295091,17.6765486121969,0.0206382542557286,616,-51.5905934812552,628
6.75,"true",10.7269677287316,18.2929553736141,6.96357648721719,17.6930132001342,0.0207165432564195,627,-51.6280476140852,627
7,"pred",10.7301562421721,18.6396210266524,7.19893600959086,17.9546244820877,0.0292471656311414,428,-51.1998657395886,425
7,"true",10.7294183144875,18.6736804319796,7.21720846038701,17.9506042621695,0.020233662700438,431,-51.1148719294466,431
7.25,"pred",10.7353897118798,18.921418398006,7.46913073336276,18.2347324380873,0.0495176203281804,357,-51.5651119187458,349
7.25,"true",10.7320166724039,18.8728274179608,7.48921368194593,18.2328220126388,0.0325164378425803,361,-51.1193058917147,361
7.5,"pred",10.7616763723674,19.2202167834079,7.74345388132653,18.5287961214988,0.0643356142179095,243,-51.0289131478748,262
7.5,"true",10.7567976725671,19.2551387693749,7.76168641563606,18.5139066443227,0.0538067335755842,232,-50.9562907589039,232
7.75,"pred",10.7308381021213,19.413288914557,7.98907889059228,18.7348782635079,0.0554508589655895,186,-50.309168314313,182
7.75,"true",10.7376160490337,19.4034446821445,8.00699277709993,18.7640932569162,0.0587466520460813,186,-50.154751865567,186
8,"pred",10.743869935471,19.7086039648283,8.25848206625173,19.0223866839797,0.0659371118478465,134,-50.3131879130042,130
8,"true",10.7410372884997,19.5216516081179,8.26302437358027,19.0210056470178,0.0488571664784724,140,-50.5678847984603,140
8.25,"pred",10.7378247572622,19.930588877503,8.46625316588507,19.2411902629993,0.0454626099288985,109,-49.8341174493453,112
8.25,"true",10.7427414278546,20.0887759060251,8.52092515688998,19.2840223957238,0.0504132571088926,114,-49.5927940442063,114
